Project Title,Architect/Designer,Cinematographer,Client,Construction Manager,Contractor,Drawings,I - Status,"II - Program Type ","III - Intervention Type ","IV - ""Gentle Works Qualities"" ",Landscape Architect,Last edited time,MEP Engineer,Make Drawings?,Month Completed,Navigation Image,Notes (Unpublished),"Operator ",Other Specialists,People Assigned,Photographed?,Photographer,Priority?,Project Description,Project Location,"Publish on Web? ",Representation Complete?,Structural Engineer,Videography,Year Completed
Lake Claire Pool,Gentle Works,,Canvas Co.,,"3D Renovations, Inc.",In-Progress,Built,Civic,"FF&E, Interiors, Renovation","Civic Repair, Gathering Space",,"April 13, 2026 2:03 PM",BEST Engineering,Yes,4,072425_lakeclairepoolclub_FINAL_0001.jpg,,,,"Holden Spaht, AIA, Morgan",Yes,Andrew Thomas Lee,High,"We were approached by our friends at Canvas Companies to help reimagine the Lake Claire Pool, a private pool club located in the vibrant Lake Claire neighborhood of Atlanta. We set out to design a neighborhood oasis of refined relaxation, community connection, and design-forward simplicity perfect for this area. A neutral backdrop helped us to brighten and simplify  while pops of color, patterns, and graphics provided the playful and bold moments the design needed. From striped tile walls to polka dot floors, we used moments of pattern to set the tone for this fun family friendly environment. Hand painted murals and signage throughout have a vintage graphic quality to playfully describe nostalgic poolside fun. We collaborated with The Loss Prevention and Office Hours for the murals and signage throughout the project.","Lake Claire, Atlanta, GA",Yes,✅,,Incomplete,2025
"The Lodge, A + Event Space",Gentle Works,,"King Properties, Clark R+D",,"Peter Constructive (Core & Shell), Gibson Construction (Event Space Interiors)",,Under Construction,"Commercial, Food + Beverage, Mixed-Use","Adaptive Reuse, Historic Preservation, Interiors","Civic Repair, Gathering Space, Material Expression",,"April 13, 2026 2:04 PM",Westside Engineering,Yes,,,,VicBrands,,"Emily, Anna",No,,Medium,,"East Atlanta Village, Atlanta, GA",Yes,❌,Palmer Engineering,,
Long Story Books,Gentle Works,,Long Story Books,,Lucas Tilton Residential,,Under Construction,"Commercial, Food + Beverage, Retail","Addtion/Infill, FF&E, Interiors, Renovation",Gathering Space,Martin-Rickles Studio,"April 13, 2026 2:03 PM",Neu Engineers,Yes,8,,,,,"Holden Spaht, AIA, Anna, Emily",No,Andrew Thomas Lee,Medium,,"Inman Park, Atlanta, GA",Yes,❌,Restruct Engineering,,2026
Downtown Auburn,,,,,,,Under Construction,,,,,"April 13, 2026 2:00 PM",,No,,,,,,"Holden Spaht, AIA, Morgan",No,,Low,,"Auburn, GA",No,,,,
Riviera Mankoadze,Gentle Works,,Walter Levich,,Isopterra (Design-Build),,In Design,Housing,"Interiors, New Build, Site, Strategy/Planning","Domestic Scale, Gathering Space, Material Expression",,"April 13, 2026 2:36 PM",,Yes,,,,,,"Holden Spaht, AIA, Morgan",No,,Medium,"Gentle Works is designing a 5.5 acre coastal community in Mankoadze, Ghana.Positioned between the Gulf of Guinea and Mount Manko, the proposed resort project  features a variety of residential structures (for sale or lease) and amenities including a scenic bar/restaurant, a cascading waterfall pool, cabanas, restrooms, and a boardwalk. The site is pedestrian-friendly, with automobiles maintained at the entrance only. Our design leans into local materials and culturally significant crafts, including handmade tiles, breezeblock, rammed earth, tropical woods, and woven accents. The design anticipates utilizing locally-sourced materials and tradespeople for the development of this project.

","Mankoadze, Ghana",Yes,❌,,,
Ryokou,Gentle Works,,Braden Fellman Group,,Braden Fellman Group,,Built,"Commercial, Food + Beverage","Adaptive Reuse, Interiors",Material Expression,,"April 13, 2026 2:35 PM",BEST Engineering,Yes,12,,,"Ryokou (Chef Leonard Yu, Omakase Table)",,Emily,Yes,Andrew Thomas Lee,High,"Ryokou is a small, intimate 12-person Omakase bar experience led by chef Leonard Yu of Omakase Table in Atlanta. It is a small restaurant space within the historic Abrams Fixtures building, which has been restored by Braden Fellman Group. The building includes a mix of residential, office, and restaurant space. The restaurant’s aesthetic leans into the idea of wabi sabi, or impermanence, and celebrates the historic design elements of the space, such as exposed wood beams and historic brick walls. A large part of the scope was designing and detailing custom millwork pieces in the space to maximize storage while maintaining an elegance of form within the space. ","Adair Park, Atlanta, GA",Yes,✅,,,2024
Halfway Crooks Brewery,,,,,,,Built,"Commercial, Food + Beverage","Adaptive Reuse, Interiors, Renovation",Gathering Space,,"April 21, 2026 11:23 AM",,Yes,7,,https://www.notion.soNote that this one was completed while at SFS.,,,"Holden Spaht, AIA",Yes,,High,"While working at Square Feet Studio, Holden designed the architecture and interiors for Halfway Crooks Beer, Georgia’s first own-premise brewery and a leading edge in the large-scale redevelopment of the former Turner Field area in Atlanta’s Summerhill neighborhood. The design process was an intimate journey into the backgrounds of the owners (a Belgian-born master brewer, a talented home-brewer turned electrical engineer, and a retired surgeon), the history of the neighborhood, and the deep layers of memory embedded in the plaster walls of a century-old building.
Drawing from the brewmaster's upbringing on a sheep farm and his fond memories of the local cafés lining the cobble streets of his Belgian hometown, the design incorporates quaint patterns and mismatched furniture for a cozy space which feels loved and lived-in. Meanwhile, nods to the engineer's background are evident in a wall of computer monitors carefully set into custom casework. The color palette, derived from the traces of paint found on the original walls, is integrated throughout in the cozy cacophony of vintage wallpaper, hand-made tiles, and custom furniture made from recycled heart pine.
The barrel room, wrapped in thick walls of decorative crown molding and chair rails and punctured by glazed apertures providing glimpses at the aging beer within, serves as a focal point in the space. Handcrafted paneling unifies the bar, kitchen, and cold storage, while beadboard clouds with exposed frosted bulbs provide ambient lighting, striking a balance between comfort and sophistication. This neighborhood dive-meets-craft beer haven welcomes locals and beer enthusiasts alike, offering an elevated experience in a fun and unpretentious setting.","Summerhill, Atlanta, GA",Yes,✅,,,2019
El Malo,Square Feet Studio,Adam Forrester,El Malo,,Fox Construction,,Built,"Commercial, Food + Beverage","Interiors, Renovation",Spatial Threshold,,"April 9, 2026 3:12 PM",Proficient Engineering,Yes,11,,https://www.notion.soNote that this one was completed while at SFS.,El Malo,,Emily,Yes,Andrew Thomas Lee,High,"While employed at Square Feet Studio, Holden and Emily led the design team for El Malo, a high-end rum bar in the historic Atlanta Dairies building in the Reynoldstown neighborhood of Atlanta. The dark and moody bar is a theater of suspense and procession. Entering off the lively Atlanta Dairies courtyard, visitors proceed into a dark, textured portal to be led down a long corridor illuminated with minimal red lighting. After turning the end of the corridor, guests emerge into the main bar area, accented with towering, illuminated columns. A variety of lush seating flanks the edges of the bar, and a tiled and gold-leaf-clad DJ both anchors the open dance floor. A private VIP space and “green room” lounge provide more intimate gathering spaces. The entire bar is illuminated with color-changing lighting to reflect the mood of the music, guests, and menu.","Reynoldstown, Atlanta, GA",Yes,❌,,,2023
"Optimist Hall ",Square Feet Studio,,Paces Properties and White Point Partners,,Liles Construction,,Built,"Commercial, Cultural, Food + Beverage, Mixed-Use, Retail","Adaptive Reuse, FF&E, Historic Preservation, Interiors","Gathering Space, Material Expression",,"April 13, 2026 2:37 PM",Proficient Engineering,Yes,8,,,,Branding: Plaid PEnguin,"Holden Spaht, AIA, Morgan",Yes,Keith Isaacs,High,"Optimist Hall is a 60,000 SF food hall and retail tenant destination in Charlotte, NC. Originally built as a textile mill in 1892, the building boasts tall ceilings, large factory windows, and a smokestack that were all restored to create a daylight-filled gathering space for shopping and dining guests. The base building design was executed by Perkins + Will, and Holden led the Square Feet Studio team that brought life to the public domain of this space while acting as a general design consultant on the overall vision of the project. The custom furniture of the space was inspired by the spinning and weaving processes of the original factory while using materials harkening to that era: heart pine and raw steel. Emily collaborated with Holden in 2021 to revisit of the project to help expand the exterior seating and gathering spaces to bring more indoor-outdoor connection to the building. The exterior work centered around an elevated national park aesthetic play with colors and energetic spaces.

","Charlotte, NC",Yes,❌,,,2019
Woodland Avenue House,Square Feet Studio,,The Lee Family,,Lucas Tilton Residential,,Built,Residential,"Interiors, New Build",Domestic Scale,,"April 13, 2026 2:37 PM",,Yes,,,https://www.notion.soSFS project - Holden needs to review for me.,,,"Holden Spaht, AIA",Yes,Andrew Thomas Lee,High,"While at Square Feet Studio, Holden worked closely with Kate and Andy Lee on a small addition to their home to accommodate their growing family and an accessory dwelling unit (ADU) to house Andy’s professional photography studio. The house addition focused on creating a new dining room, achieved by enclosing an existing covered porch and constructing a flexible patio deck with integrated seating. Meanwhile, the placement of the 750-square-foot ADU was strategically positioned to frame the backyard, forming a courtyard ideal for both supervising playing children and entertaining guests. The walls of the house addition and ADU, when facing each other, are intentionally porous, with generous operable doors and windows allowing seamless flow from outside to inside of either building.
The shape of the ADU emerged from a play between the massing restrictions provided by the Atlanta Zoning Ordinance and the specific needs of the studio, where Andy, widely known for his food photography, would be shooting chef portraits and cookbooks. A simple rectangle with an asymetric roof gable, the interior spaces feature a double-height volume bathed in ambient northern light adjacent a photogenic kitchen nestled under an editing loft, from which views to the kids’ play area are provided via a single corner window. Clad in unfinished cypress, the exterior is left to to be marked by the passage of years and seasons in its ever-silvering patina.View fullsize","Ormewood Park, Atlanta, GA",Yes,❌,,,
Halfway Crooks Beirgarten,Square Feet Studio,Adam Forrester,Halfway Crooks,,Cross Miller,,Built,"Commercial, Food + Beverage","Addtion/Infill, Site",Gathering Space,,"April 17, 2026 3:19 PM",Proficient Engineering,Yes,5,,https://www.notion.soNote that this one was completed while at SFS.,,,"Holden Spaht, AIA, Emily",Yes,Andrew Thomas Lee,High,"While at Square Feet Studio, Holden and Emily worked together to design the biergarten for Halfway Crooks Beer next to their popular Summerhill brewery and tasting room. The site, a previously undeveloped lawn featuring two shady pecan trees and and an oak, had long captured the imaginations of the owners who dreamed of a European-style outdoor space made for sipping light pilsners and lagers whilst enjoying a live performance or the screening of a film or soccer game. Shipping containers lightly set on point foundations provide a perimeter “garden wall” filled with a bar, restrooms, food servery, cold storage, and covered seating, enclosing the space while minimally impacting the critical root systems of the mature shade trees at the center. Playful arched openings on the interior faces of the containers, coupled with colorful branding designed by Family Bros., unexpectedly disrupt the disciplined modularity of the industrial boxes. Playing on the theme of arched forms, a stage and screen are set beneath a prefabricated quonset hut, chamfering the corner of the site to face back into the garden. ","Summerhill, Atlanta, GA",Yes,✅,,,2023
"Banks Food Hall ",,,,,,,Built,,,,,"April 13, 2026 2:00 PM",,Yes,,,,,,"Holden Spaht, AIA",No,,Medium,,"Columbus, GA",Yes,❌,,,
"Morningside District ",Gentle Works,,26th Street Partners,Woodsong Advisory,,,Under Construction,"Civic, Commercial, Food + Beverage, Mixed-Use, Retail","FF&E, Renovation, Site, Strategy/Planning","Civic Repair, Gathering Space, Material Expression, Spatial Threshold",Latitude Construction,"April 13, 2026 2:07 PM",,Yes,,,,,,"Holden Spaht, AIA, Morgan",No,,Medium,,"Morningside, Atlanta, GA",Yes,❌,,,2026
Chateau,,,,,,,In Design,,,,,"April 13, 2026 2:06 PM",,No,,,,,,"Anna, Holden Spaht, AIA",No,,Low,,"Sandy Springs, GA",No,,,,
Three Taverns on Ponce,Gentle Works,,Three Taverns,North Avenue Partners,Southern Choice Construction,,Built,"Commercial, Food + Beverage","FF&E, Interiors, Renovation","Gathering Space, Material Expression, Spatial Threshold",,"April 13, 2026 2:35 PM",BEST Engineering,Yes,4,,,,,"Emily, Carlisle",Yes,Andrew Thomas Lee,High,"Three Taverns Brewery partnered with Gentle Works to design its third location, the Ponce Brew Terminal, located on the Eastside Beltline at the base of Signal House Apartments.
The design weaves together the identity of Three Taverns and the rich history of the site. Inspiration is taken from the bold color palette of the brewery’s A Night on Ponce IPA, the reflective materiality of brewing equipment, and the legacy of the Beltline rail corridor. These elements are further grounded by references to the site’s past—from its time as a Sears, Roebuck, & Co. distribution center to its earlier life as Ponce de Leon Springs, once a vibrant “pleasure garden” destination in 19th-century Atlanta.
A stainless-steel bar and elevated serving tanks anchor the center of the space. The color-drenched interior evokes the feeling and atmosphere of a “night on Ponce.” Custom furniture and banquettes subtly reference the geometry and material language of the historic rail corridor, reinforcing the project’s connection to place.","Old Fourth Ward, Atlanta, GA",Yes,✅,Restruct Engineering,,2026
Kennesaw State Convocation Store,Gentle Works,,Kennesaw State University,,Heritage Building Group,,Built,"Commercial, Institutional, Retail","Interiors, Renovation",Gathering Space,,"April 13, 2026 2:03 PM",BEST Engineering,No,4,,,,OPTO International,"Emily, Morgan",No,,Medium,,"Kennesaw, Georgia",Maybe?,,Restruct Engineering,,2026
Hotel Row (South Downtown),Gentle Works,,SoDo,,Catamount Constructors,,Built,"Commercial, Retail","Adaptive Reuse, Interiors","Gathering Space, Material Expression",,"April 13, 2026 2:23 PM",BEST Engineering,Yes,,,,Crates and Village Books,,"Emily, Anna",Yes,Andrew Thomas Lee,High,"South Downtown is undergoing a major revitalization led by the SoDo development group. As part of this effort, the Gentle Works team collaborated on the design and implementation of a record store (Crates), bookstore (Village Books), gallery, and additional pop-up retail space within the “Hotel Row” development on Mitchell Street.
SoDo began the development on Hotel Row to inject energy and activity into this block—sparking momentum and setting the stage for larger, future developments in downtown Atlanta. Working closely with the SoDo team and tenants, we developed a strategy to efficiently design and permit the retail suites within a compressed timeline, while still meeting each tenant’s functional needs and design aspirations.
The result is a lively, budget-conscious pair of spaces that introduce bold, color-forward environments while respecting and highlighting the building’s historic character. Each tenant space maintains its own distinct identity, creating unique storefronts that contribute to the evolving vibrancy of the district.
","South Downtown, Atlanta, GA",Yes,✅,,,2025
Gather’d,,,,,,,Built,,,,,"April 13, 2026 1:59 PM",,Maybe?,,,,,,Emily,No,,Low,,"Buckhead, Atlanta, GA",Maybe?,,,,
Historic YMCA,Square Feet Studio,Adam Forrester,W.C. Bradley,,Brasfield & Gorrie,,Built,"Commercial, Workplace","Historic Preservation, Interiors, Renovation, Strategy/Planning","Civic Repair, Gathering Space",Jessica Ezzell,"April 13, 2026 12:55 PM","McKinney’s (M & P), Proficient Engineering (E)",Yes,,,https://www.notion.soMake sure to note completed while at SFS.,,,Emily,No,,Medium,"The historic YMCA in downtown Columbus, GA was built in 1903 in the Classical Revival style, and prior to the 2022 restoration, stood vacant and in near disrepair for several years. Holden and Emily led the Square Feet Studio architecture and interior design team on the renovation of both the exterior marble façade, windows, exterior entry sequence, and full interior outfit of the space. This 23,000 square foot Class A office building features five levels of office space for four tenants with a mezzanine level inside what was formerly a gymnasium.
The space features a rebuilt grand entry staircase, restoration of molding and plaster details throughout, custom steel handrails to accentuate the 3-story atrium, a restored glass skylight as the central anchor of the space, and exposed brick feature walls inside private office spaces. The historic Columbus YMCA won the 2023 CoStar Impact Award.","Columbus, GA",Yes,❌,Wright Engineering,,2022
"The Lodge, D",Gentle Works,,"King Properties, Clark R+D",,Peter Constructive,,Under Construction,"Commercial, Mixed-Use",New Build,Material Expression,,"April 21, 2026 3:33 PM",Westside Engineering,Yes,,,,,,"Holden Spaht, AIA, Anna",No,,High,,"East Atlanta Village, Atlanta, GA",Yes,In Progress,Palmer Engineering,,
Brewhouse,Gentle Works,,SoDo,,Freeman GC,,Under Construction,"Commercial, Food + Beverage","Adaptive Reuse, Interiors, Renovation","Gathering Space, Material Expression",,"April 13, 2026 2:05 PM",Proficient Engineering,Yes,5,,,Brewhouse,,"Emily, Carlisle",No,Andrew Thomas Lee,High,,"South Downtown, Atlanta, GA",Yes,❌,,,2026
Alabaster House,Gentle Works,,The Alabaster House,,Cross Miller,,Built,"Commercial, Wellness","Interiors, Renovation",Material Expression,,"April 13, 2026 2:01 PM",BEST Engineering,Maybe?,4,,,,,"Emily, Morgan",No,,Low,,"Morningside, Atlanta, GA",Maybe?,,,,2026
EAV Flat Shoals Block,,,,,,,In Design,,,,,"April 13, 2026 2:06 PM",,--,,,,,,"Holden Spaht, AIA, Clay Kiningham, Carlisle",--,,Low,,"East Atlanta Village, Atlanta, GA",Yes,,,,
,,,,,,,,,,,,"April 13, 2026 1:59 PM",,--,,,,,,,--,,,,,--,,,,
Harbor Coffee Expansion,Gentle Works,,Harbor Coffee,,Southern Choice Construction,,In Design,"Commercial, Food + Beverage","Interiors, Renovation",Gathering Space,,"April 13, 2026 2:01 PM",NEU Engineers,--,,,,,,"Emily, Morgan",--,Andrew Thomas Lee,Low,,"Inman Park, Atlanta, GA",Maybe?,,,,
Korver House (RENAME FOR WEBSITE),Gentle Works,,undisclosed,,Siegel Construction & Design,,In Design,Residential,"New Build, Renovation",,Land Plus Associates,"April 13, 2026 2:03 PM",,--,,,,,,"Clay Kiningham, Holden Spaht, AIA",--,,Low,,"Buckhead, Atlanta, GA",Yes,,Restruct Engineering,,
450 Capitol,,,,,,,Unbuilt,,,,,"April 13, 2026 2:00 PM",,--,,,,,,"Holden Spaht, AIA, Emily",No,,Low,,"Summerhill, Atlanta, GA",--,,,,
350 Memorial Drive,,,,,,,Unbuilt,,,,,"April 13, 2026 2:01 PM",,,,,,,,"Holden Spaht, AIA",,,Low,,"Atlanta, GA",,,,,
Bagely Park,,,,,,,Unbuilt,,,,,"April 13, 2026 2:00 PM",,,,,,,,"Holden Spaht, AIA, Carlisle",,,Low,,"Buckhead, Atlanta, GA",,,,,
Daily Dose,Square Feet Studio,,"Dan Collier of Daniel Richards, Inc",,,,Built,"Commercial, Food + Beverage",Renovation,Gathering Space,,"April 17, 2026 4:04 PM",Proficient Engineering,Yes,,,,,,"Holden Spaht, AIA, Morgan",Yes,Andrew Thomas Lee,High,,"Reynoldstown, Atlanta, GA",Yes,❌,,,